coin,URL,count
bitcoin,http://megalzwink435kangsseahebpbp3teedi4jjt64ne2g6d3oqy3qlweid.onion/,12
bitcoin,http://monerotoruzizulg5ttgat2emf4d6fbmiea25detrmmy7erypseyteyd.onion,1
monero,http://monerotoruzizulg5ttgat2emf4d6fbmiea25detrmmy7erypseyteyd.onion,33
bitcoin,http://4aungu4fqbjuxwjpmsrfcmlkxk6i6hvxmh5pwqz32x5qolq2koutkhad.onion,1
ethereum,http://5l4azvzhtzzxybvrotdmdh6q2ot47sdncz4uynexwhey2apaxz7abkid.onion,4
bitcoin,http://deeyb4ewqghsujbqokcimlfs6646fcmf3yjiw4qv4qzhpirh26q2wcyd.onion,8
bitcoin,http://4eoz4pemry55ioyns744kdvrqgmterzy5xlrairziuuxrjbmdipcyyad.onion/Recommend&Trust,1
monero,http://4eoz4pemry55ioyns744kdvrqgmterzy5xlrairziuuxrjbmdipcyyad.onion/Recommend&Trust,1
bitcoin,http://l7vh56hxm3t4tzy75nxzducszppgi45fyx2wy6chujxb2rhy7o5r62ad.onion/,1
ethereum,http://l7vh56hxm3t4tzy75nxzducszppgi45fyx2wy6chujxb2rhy7o5r62ad.onion/,1
litecoin,http://l7vh56hxm3t4tzy75nxzducszppgi45fyx2wy6chujxb2rhy7o5r62ad.onion/,1
bitcoin,http://torliwgfgbm25vy2zyodv6qci7monx4cz7dq4viia4eq4swkxmwckead.onion/,7
ethereum,http://torliwgfgbm25vy2zyodv6qci7monx4cz7dq4viia4eq4swkxmwckead.onion/,1
ethereum,http://suomidrm4jxoggzwe4ibav6e74xlx2qoriq33vyqe2gk2gaibngw3uyd.onion/?/ukko/,1
bitcoin,http://p23gulsmmneshdxabrbt3j2enmf2h4suynuujimjqjlklo4pprx6flid.onion,2
bitcoin,http://qdoengfklui3263cymghxqiihxfmmjggzjicqqy5gcc72tai2xtengqd.onion/,1
bitcoin,http://conzz3bcygnhzocckbwyfcu4hr4nt653y6ybtq5uujqx3k57gl54seid.onion/,1
bitcoin,http://tordoge35c5krfwoghekqpe6zlbdgfafn5byppmgnthktzmtk4rjahqd.onion,23
monero,http://tordoge35c5krfwoghekqpe6zlbdgfafn5byppmgnthktzmtk4rjahqd.onion,1
ethereum,http://tordoge35c5krfwoghekqpe6zlbdgfafn5byppmgnthktzmtk4rjahqd.onion,2
zcash,http://tordoge35c5krfwoghekqpe6zlbdgfafn5byppmgnthktzmtk4rjahqd.onion,1
bitcoin,http://escroww42nwgs2b5rban2hzpqnf2qytvtuwd34xqgbrv2mywtp4nqyqd.onion/,7
bitcoin,http://rio2lisjaf4g6uazrawpm3qm7aojkga5t7apuvifj2m3l5qwdivaaxid.onion,14
bitcoin,http://tomjejezyhisqf4cqzhtjoqtwdf7slb46eprudl4dyt2gmbpvsqmzkyd.onion/,3
bitcoin,http://zqktlwiawxckqmthzpumhmizxwtf6hd7btimcul2bvpgp5mglbvs7yad.onion/wiki/index.php/Main_Page,17
monero,http://zqktlwiawxckqmthzpumhmizxwtf6hd7btimcul2bvpgp5mglbvs7yad.onion/wiki/index.php/Main_Page,6
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/popular.html,1
bitcoin,http://duckwm3krjkdpb7wbkgbra5bu7ilwr2wj5zjp6pym7clfprumwdluhid.onion,4
bitcoin,http://paullzqj3ntil7vyar3gxeks7bz5haiteeehz5vdk5fadvtto7q7liid.onion,8
monero,http://paullzqj3ntil7vyar3gxeks7bz5haiteeehz5vdk5fadvtto7q7liid.onion,1
bitcoin,http://bepig5bcjdhtlwpgeh3w42hffftcqmg7b77vzu7ponty52kiey5ec4ad.onion/,3
bitcoin,http://catalogxlotjjnu6vyevngf675vu6beefzxw6gd6a3fwgmgznksrqmqd.onion/ebooks.html,1
bitcoin,http://findtorroveq5wdnipkaojfpqulxnkhblymc7aramjzajcvpptd4rjqd.onion/campaign,1
bitcoin,http://tj5xzgekfc4d4sxskzb2vpk66cvdnrigdygrcss3m7zr6hp75ij72pqd.onion/,2
bitcoin,http://wfhk7qy6ycihylvls7xrmlyp3elin3k6ezyee4ovp3oj2wudrhmhgwid.onion,9
bitcoin,http://btcdwn2djnupcpwasjinxzpe5mzq4ksfv2cwhuzfbno3j3hfok3v46id.onion,5
ethereum,http://h5jauggmexwnkvyh5yrususcmfposo4e7xo5d62ywcupk66dayer35qd.onion,2
